	65	130	195	259
0	0.75	1.0	1.0	0.8333333333333334
1	0.6666666666666666	0.75	0.5714285714285714	0.8
2	0.75	0.6666666666666666	0.625	0.6666666666666666
3	0.5555555555555556	0.5	0.6666666666666666	0.7142857142857143
4	1.0	1.0	1.0	1.0
5	0.5	0.42857142857142855	0.5	0.5
6	1.0	0.8571428571428571	1.0	1.0
7	0.6666666666666666	0.8333333333333334	1.0	0.8333333333333334
8	1.0	0.5714285714285714	0.6666666666666666	0.7142857142857143
9	0.6666666666666666	0.6666666666666666	0.8333333333333334	0.8333333333333334
10	0.6	0.6	0.6	0.75
11	0.75	0.6	0.75	1.0
12	0.8333333333333334	1.0	0.75	0.6666666666666666
13	1.0	0.5	1.0	0.75
14	0.6666666666666666	0.7142857142857143	0.625	0.8333333333333334
15	0.5714285714285714	0.5454545454545454	0.75	0.8333333333333334
16	0.6666666666666666	0.6666666666666666	0.5714285714285714	0.7142857142857143
17	0.7142857142857143	1.0	0.8333333333333334	0.7142857142857143
18	1.0	0.8	0.8333333333333334	0.625
19	1.0	1.0	1.0	0.6
20	0.8	1.0	0.75	1.0
21	1.0	1.0	1.0	1.0
22	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7142857142857143
23	0.5	0.5714285714285714	0.5555555555555556	0.6666666666666666
24	0.6	0.6666666666666666	0.5	0.5714285714285714
25	0.8333333333333334	0.8	0.8333333333333334	0.8333333333333334
26	0.625	0.8571428571428571	0.75	0.625
27	0.6666666666666666	0.7142857142857143	0.7142857142857143	0.6
28	0.8333333333333334	0.625	0.7142857142857143	0.7142857142857143
29	1.0	1.0	1.0	1.0
30	0.625	0.6666666666666666	0.625	0.6666666666666666
31	0.5454545454545454	0.7142857142857143	0.6666666666666666	1.0
32	0.5555555555555556	0.625	0.8333333333333334	0.5
33	0.5	0.7142857142857143	0.5555555555555556	0.6666666666666666
34	0.8	0.6	0.75	0.75
35	0.75	0.7142857142857143	0.7142857142857143	0.8333333333333334
36	0.8333333333333334	0.5555555555555556	0.625	0.6666666666666666
37	1.0	1.0	0.6666666666666666	1.0
38	0.5	0.75	0.7142857142857143	0.8
39	0.6666666666666666	0.6666666666666666	0.5714285714285714	0.8
40	0.7142857142857143	0.8333333333333334	0.8571428571428571	0.8
41	0.6666666666666666	0.75	0.75	0.5454545454545454
42	0.75	0.8	0.75	0.6666666666666666
43	0.8	0.8333333333333334	0.8333333333333334	0.8333333333333334
44	0.625	0.75	1.0	0.8333333333333334
45	0.75	0.6666666666666666	0.7142857142857143	0.8333333333333334
46	1.0	0.8571428571428571	0.8571428571428571	1.0
47	0.6	0.6	0.2222222222222222	0.625
48	0.75	0.8333333333333334	0.8	1.0
49	0.5	0.5714285714285714	0.625	0.75
